order_pk,order_id,order_date,customer_pk,payment_id
91,B-26185,2021-03-14,91,4
92,B-26185,2022-02-23,92,4
93,B-26259,2022-03-29,93,1
94,B-26259,2022-11-20,94,1
95,B-25142,2021-11-12,95,2
96,B-25142,2021-11-12,96,1
97,B-25326,2021-08-17,97,5
98,B-25326,2022-05-16,98,5
99,B-26795,2023-07-16,99,4
100,B-26795,2023-07-16,100,4
101,B-26795,2023-07-16,101,5
102,B-25660,2020-08-18,102,2
103,B-25660,2022-04-19,103,2
104,B-25410,2022-12-23,104,2
105,B-25690,2024-12-07,105,3
106,B-26464,2022-02-03,106,3
107,B-26464,2021-12-12,107,3
108,B-26464,2022-02-03,108,1
109,B-26464,2021-12-12,109,1
110,B-26464,2022-02-03,110,2
111,B-26464,2021-12-12,111,2
112,B-26454,2020-05-17,112,3
113,B-26742,2022-12-05,113,4
114,B-26742,2024-09-17,114,4
115,B-26742,2022-12-05,115,4
116,B-26742,2024-09-17,116,4
117,B-25510,2023-05-08,117,5
118,B-25510,2021-03-03,118,5
119,B-25510,2021-03-18,119,5
120,B-25510,2023-04-24,120,5
121,B-25936,2021-10-09,121,2
122,B-25936,2022-04-15,122,2
123,B-25936,2022-08-29,123,2
124,B-25936,2021-10-09,124,1
125,B-25936,2022-04-15,125,1
126,B-25936,2022-08-29,126,1
127,B-25884,2024-09-04,127,4
128,B-25884,2021-05-18,128,4
129,B-25884,2024-09-04,129,3
130,B-25884,2021-05-18,130,3
131,B-26287,2024-07-02,131,5
132,B-26287,2024-07-02,132,4
133,B-26287,2024-07-02,133,3
134,B-26287,2024-07-02,134,5
135,B-26564,2024-02-16,135,4
136,B-26564,2024-02-16,136,5
137,B-26293,2021-11-26,137,4
138,B-26293,2021-11-26,138,2
139,B-26293,2021-11-26,139,3
140,B-25915,2024-02-01,140,5
141,B-25915,2021-09-09,141,5
142,B-25915,2021-09-08,142,5
143,B-25915,2024-02-01,143,2
144,B-25915,2021-09-09,144,2
145,B-25915,2021-09-08,145,2
146,B-26496,2024-07-09,146,4
147,B-26496,2024-07-09,147,2
148,B-26496,2024-07-09,148,2
149,B-26496,2024-07-09,149,2
150,B-25856,2023-02-28,150,4
151,B-25856,2023-02-28,151,4
152,B-25856,2023-02-28,152,4
153,B-26899,2022-08-08,153,4
154,B-25916,2022-12-07,154,1
155,B-25916,2024-04-29,155,1
156,B-25916,2022-12-07,156,4
157,B-25916,2024-04-29,157,4
158,B-25916,2022-12-07,158,4
159,B-25916,2024-04-29,159,4
160,B-25916,2022-12-07,160,1
161,B-25916,2024-04-29,161,1
162,B-26428,2022-01-02,162,4
163,B-26332,2022-06-10,163,5
164,B-26332,2021-11-16,164,5
165,B-26332,2022-08-17,165,5
166,B-26332,2022-06-10,166,4
167,B-26332,2021-11-16,167,4
168,B-26332,2022-08-17,168,4
169,B-26332,2022-06-10,169,1
170,B-26332,2021-11-16,170,1
171,B-26332,2022-08-17,171,1
172,B-25303,2021-11-23,172,5
173,B-25303,2023-03-04,173,5
174,B-26507,2023-12-16,174,5
175,B-25983,2024-05-19,175,2
176,B-25983,2020-05-14,176,2
177,B-25983,2024-05-19,177,4
178,B-25983,2020-05-14,178,4
179,B-25156,2021-08-29,179,4
180,B-26759,2024-11-10,180,5
181,B-26759,2024-11-10,181,5
182,B-26244,2021-12-05,182,3
183,B-26244,2021-12-05,183,3
184,B-26365,2024-07-05,184,1
185,B-26365,2024-07-05,185,5
186,B-26212,2024-06-25,186,2
187,B-26212,2024-06-25,187,2
188,B-25042,2024-05-31,188,5
189,B-25042,2024-05-31,189,5
190,B-25901,2020-10-20,190,1
191,B-25901,2022-08-11,191,1
192,B-25901,2021-10-17,192,1
193,B-25901,2020-10-20,193,1
194,B-25901,2022-08-11,194,1
195,B-25901,2021-10-17,195,1
196,B-26747,2022-02-23,196,4
197,B-26747,2022-02-23,197,1
198,B-26698,2023-09-20,198,3
199,B-25841,2021-01-19,199,3
200,B-25841,2021-01-19,200,1
201,B-26032,2020-08-21,201,5
202,B-26032,2023-04-17,202,5
203,B-26032,2023-12-24,203,5
204,B-26032,2020-08-21,204,2
205,B-26032,2023-04-17,205,2
206,B-26032,2023-12-24,206,2
207,B-26032,2020-08-21,207,4
208,B-26032,2023-04-17,208,4
209,B-26032,2023-12-24,209,4
210,B-26032,2020-08-21,210,2
211,B-26032,2023-04-17,211,2
212,B-26032,2023-12-24,212,2
213,B-25171,2022-03-20,213,4
214,B-26939,2021-08-12,214,2
215,B-26939,2021-08-12,215,3
216,B-26347,2020-12-21,216,1
217,B-26347,2023-07-07,217,1
218,B-25388,2023-08-13,218,3
219,B-25388,2021-02-04,219,3
220,B-25388,2022-09-16,220,3
221,B-25388,2022-05-06,221,3
222,B-26419,2021-05-28,222,1
223,B-25157,2024-07-18,223,1
224,B-25342,2024-12-06,224,1
225,B-25342,2024-12-06,225,3
226,B-25342,2024-12-06,226,3
227,B-26165,2022-12-12,227,1
228,B-26571,2022-10-20,228,5
229,B-26571,2022-10-20,229,5
230,B-25400,2021-03-24,230,1
231,B-25400,2025-01-06,231,1
232,B-25400,2021-03-24,232,2
233,B-25400,2025-01-06,233,2
234,B-25885,2021-03-06,234,5
235,B-25885,2021-03-06,235,2
236,B-25885,2021-03-06,236,2
237,B-25004,2020-06-17,237,5
238,B-25004,2023-09-01,238,5
239,B-26213,2023-06-08,239,1
240,B-26213,2023-06-08,240,2
241,B-25025,2021-03-25,241,5
242,B-25025,2021-03-25,242,4
243,B-26804,2021-01-03,243,2
244,B-26804,2021-01-03,244,4
245,B-26797,2024-12-27,245,4
246,B-26556,2022-08-12,246,1
247,B-25861,2022-03-28,247,2
248,B-25861,2023-07-15,248,2
249,B-25861,2022-09-22,249,2
250,B-25861,2022-03-28,250,2
251,B-25861,2023-07-15,251,2
252,B-25861,2022-09-22,252,2
253,B-25112,2022-12-20,253,5
254,B-25112,2022-01-16,254,5
255,B-25112,2023-01-29,255,5
256,B-25223,2022-01-15,256,5
257,B-25223,2022-01-15,257,5
258,B-25714,2024-03-24,258,1
259,B-25714,2025-02-19,259,1
260,B-26607,2024-07-13,260,1
261,B-25038,2023-04-28,261,2
262,B-25038,2020-12-05,262,2
263,B-25038,2024-05-14,263,2
264,B-25038,2022-01-18,264,2
265,B-26672,2023-09-18,265,3
266,B-26672,2023-09-18,266,4
267,B-25747,2021-05-12,267,5
268,B-25747,2023-09-17,268,5
269,B-25747,2021-05-12,269,1
270,B-25747,2023-09-17,270,1
271,B-25747,2021-05-12,271,3
272,B-25747,2023-09-17,272,3
273,B-26322,2024-09-06,273,3
274,B-26613,2022-06-18,274,1
275,B-26613,2022-06-18,275,5
276,B-25413,2020-05-22,276,2
277,B-26466,2024-10-17,277,3
278,B-26466,2024-10-17,278,3
279,B-26610,2022-03-22,279,4
280,B-26209,2024-03-17,280,2
281,B-26209,2024-03-17,281,4
282,B-26622,2020-04-02,282,1
283,B-26622,2020-04-02,283,4
284,B-26601,2024-03-13,284,1
285,B-26601,2024-03-13,285,5
286,B-25894,2023-03-21,286,5
287,B-25894,2023-03-21,287,4
288,B-25894,2023-03-21,288,5
289,B-26969,2024-03-02,289,4
290,B-26969,2021-04-30,290,4
291,B-26969,2024-03-02,291,2
292,B-26969,2021-04-30,292,2
293,B-26312,2021-09-15,293,2
294,B-26312,2023-01-28,294,2
295,B-26312,2021-09-15,295,1
296,B-26312,2023-01-28,296,1
297,B-26837,2021-07-08,297,4
298,B-26837,2020-04-08,298,4
299,B-26837,2021-07-08,299,1
300,B-26837,2020-04-08,300,1
301,B-26166,2022-08-23,301,5
302,B-26166,2022-08-23,302,3
303,B-25695,2022-12-17,303,1
304,B-25695,2022-06-08,304,1
305,B-25695,2022-12-17,305,3
306,B-25695,2022-06-08,306,3
307,B-26068,2020-08-28,307,5
308,B-26023,2020-09-26,308,1
309,B-26677,2020-12-13,309,2
310,B-26677,2020-11-19,310,2
311,B-25701,2023-09-13,311,1
312,B-25701,2023-09-13,312,4
313,B-25701,2023-09-13,313,1
314,B-26523,2020-03-31,314,1
315,B-26523,2020-10-20,315,1
316,B-26523,2020-03-31,316,3
317,B-26523,2020-10-20,317,3
318,B-25880,2023-08-04,318,4
319,B-26898,2022-04-11,319,4
320,B-26898,2022-04-11,320,4
321,B-26898,2022-04-11,321,3
322,B-26035,2021-12-31,322,2
323,B-26035,2021-12-31,323,5
324,B-25573,2020-08-16,324,5
325,B-25463,2025-02-02,325,2
326,B-26277,2022-02-24,326,5
327,B-26277,2022-02-24,327,1
328,B-26508,2024-02-25,328,4
329,B-26508,2021-06-15,329,4
330,B-26508,2024-02-25,330,3
331,B-26508,2021-06-15,331,3
332,B-26723,2022-12-08,332,5
333,B-26723,2023-12-09,333,5
334,B-25526,2022-07-16,334,5
335,B-25645,2024-05-05,335,1
336,B-25757,2021-10-04,336,3
337,B-26716,2021-11-20,337,1
338,B-26716,2021-11-20,338,2
339,B-26716,2021-11-20,339,2
340,B-25424,2020-09-15,340,3
341,B-25424,2020-09-15,341,1
342,B-25424,2020-09-15,342,2
343,B-26453,2023-01-17,343,2
344,B-26453,2020-06-16,344,2
345,B-26425,2024-05-01,345,2
346,B-25843,2023-12-07,346,3
347,B-25843,2023-12-07,347,4
348,B-25486,2024-02-02,348,2
349,B-26975,2024-06-23,349,4
350,B-26975,2024-06-23,350,1
351,B-26975,2024-06-23,351,3
352,B-26890,2024-06-07,352,4
353,B-26125,2023-10-13,353,5
354,B-26125,2023-10-13,354,3
355,B-26489,2022-10-08,355,5
356,B-26489,2023-10-27,356,5
357,B-26489,2021-02-09,357,5
358,B-26489,2022-10-08,358,2
359,B-26489,2023-10-27,359,2
360,B-26489,2021-02-09,360,2
361,B-26489,2022-10-08,361,2
362,B-26489,2023-10-27,362,2
363,B-26489,2021-02-09,363,2
364,B-26489,2022-10-08,364,4
365,B-26489,2023-10-27,365,4
366,B-26489,2021-02-09,366,4
367,B-26043,2020-11-03,367,1
368,B-26557,2022-05-30,368,5
369,B-26557,2022-05-30,369,4
370,B-26557,2022-05-30,370,5
371,B-25243,2024-06-16,371,1
372,B-25243,2024-06-16,372,3
373,B-25243,2024-06-16,373,5
374,B-25243,2024-06-16,374,3
375,B-26932,2022-07-15,375,3
376,B-26932,2022-07-15,376,3
377,B-25241,2021-07-18,377,3
378,B-25241,2021-10-02,378,3
379,B-25044,2024-04-16,379,4
380,B-25044,2024-04-16,380,4
381,B-26137,2020-07-09,381,4
382,B-26137,2020-07-25,382,4
383,B-26137,2024-01-24,383,4
384,B-26137,2020-05-04,384,4
385,B-26137,2021-11-13,385,4
386,B-25545,2023-10-07,386,5
387,B-26800,2021-10-23,387,1
388,B-26800,2021-10-23,388,3
389,B-26987,2022-07-18,389,3
390,B-26144,2024-08-23,390,3
391,B-26144,2024-08-23,391,4
392,B-26144,2024-08-23,392,5
393,B-25406,2020-10-28,393,1
394,B-25658,2024-06-15,394,1
395,B-25658,2024-12-19,395,1
396,B-25733,2020-09-04,396,1
397,B-26993,2022-04-16,397,2
398,B-26964,2024-08-29,398,4
399,B-26964,2022-01-14,399,4
400,B-26955,2024-04-07,400,2
401,B-26059,2022-04-24,401,5
402,B-26059,2022-04-24,402,5
403,B-26806,2020-08-27,403,3
404,B-26299,2023-03-01,404,3
405,B-26299,2023-03-01,405,5
406,B-26299,2023-03-01,406,2
407,B-26743,2020-10-02,407,5
408,B-26743,2020-06-23,408,5
409,B-26743,2023-08-21,409,5
410,B-26757,2022-07-16,410,4
411,B-26772,2022-08-01,411,5
412,B-26088,2020-07-16,412,5
413,B-26319,2020-05-02,413,3
414,B-26319,2020-05-02,414,1
415,B-26319,2020-05-02,415,4
416,B-25364,2024-01-10,416,3
417,B-25364,2020-09-30,417,3
418,B-25655,2022-03-28,418,1
419,B-26864,2021-01-30,419,1
420,B-26019,2025-03-14,420,5
421,B-25849,2021-10-26,421,2
422,B-25849,2023-01-11,422,2
423,B-25849,2021-10-26,423,4
424,B-25849,2023-01-11,424,4
425,B-25829,2021-10-31,425,4
426,B-26065,2023-05-04,426,4
427,B-26065,2024-08-09,427,4
428,B-25267,2022-08-21,428,5
429,B-25267,2022-08-21,429,5
430,B-25972,2022-06-19,430,2
431,B-25972,2022-06-19,431,2
432,B-25511,2025-01-29,432,3
433,B-25511,2025-01-29,433,5
434,B-25744,2022-01-14,434,4
435,B-25744,2022-01-14,435,1
436,B-25744,2022-01-14,436,5
437,B-26805,2023-06-15,437,2
438,B-25620,2023-10-18,438,2
439,B-25620,2022-06-13,439,2
440,B-25620,2023-10-18,440,4
441,B-25620,2022-06-13,441,4
442,B-25620,2023-10-18,442,3
443,B-25620,2022-06-13,443,3
444,B-25325,2024-06-12,444,4
445,B-25325,2024-06-12,445,4
446,B-25325,2024-06-12,446,4
447,B-25325,2024-06-12,447,3
448,B-25131,2022-06-27,448,1
449,B-25131,2022-06-27,449,5
450,B-26654,2021-02-18,450,1
451,B-26654,2021-02-18,451,4
452,B-26654,2021-02-18,452,2
453,B-26195,2023-05-29,453,2
454,B-26195,2021-06-04,454,2
455,B-25842,2024-01-22,455,3
456,B-25842,2022-12-27,456,3
457,B-25842,2024-01-22,457,3
458,B-25842,2022-12-27,458,3
459,B-25842,2024-01-22,459,2
460,B-25842,2022-12-27,460,2
461,B-25851,2024-03-30,461,1
462,B-25427,2020-04-04,462,5
463,B-25427,2020-04-04,463,1
464,B-25427,2020-04-04,464,3
465,B-26224,2023-01-22,465,5
466,B-26224,2022-04-12,466,5
467,B-26224,2023-12-13,467,5
468,B-26224,2023-01-22,468,1
469,B-26224,2022-04-12,469,1
470,B-26224,2023-12-13,470,1
471,B-26896,2023-05-24,471,3
472,B-26896,2020-11-29,472,3
473,B-26469,2021-03-24,473,1
474,B-26469,2021-03-24,474,3
475,B-26219,2020-08-19,475,4
476,B-26219,2022-10-20,476,4
477,B-26119,2023-09-20,477,2
478,B-26119,2024-12-26,478,2
479,B-26119,2023-09-20,479,3
480,B-26119,2024-12-26,480,3
481,B-26988,2021-12-03,481,5
482,B-26988,2021-12-03,482,1
483,B-25596,2021-09-14,483,4
484,B-26845,2021-09-30,484,5
485,B-25099,2021-12-22,485,5
486,B-25099,2021-12-22,486,3
487,B-25099,2021-12-22,487,1
488,B-26153,2022-05-18,488,2
489,B-25060,2020-10-08,489,4
490,B-25060,2020-10-08,490,2
491,B-26572,2022-08-20,491,3
492,B-26572,2024-11-25,492,3
493,B-26572,2022-08-20,493,3
494,B-26572,2024-11-25,494,3
495,B-25919,2020-09-30,495,4
496,B-25919,2025-02-20,496,4
497,B-25919,2022-03-20,497,4
498,B-25919,2020-09-30,498,2
499,B-25919,2025-02-20,499,2
500,B-25919,2022-03-20,500,2
501,B-26978,2025-03-07,501,2
502,B-26978,2025-03-07,502,1
503,B-26978,2025-03-07,503,5
504,B-26554,2024-06-16,504,4
505,B-26554,2020-11-21,505,4
506,B-26554,2024-10-01,506,4
507,B-26554,2024-07-01,507,4
508,B-26554,2024-06-16,508,1
509,B-26554,2020-11-21,509,1
510,B-26554,2024-10-01,510,1
511,B-26554,2024-07-01,511,1
512,B-26883,2020-11-23,512,5
513,B-25423,2023-03-18,513,4
514,B-25423,2022-10-19,514,4
515,B-26324,2023-08-31,515,2
516,B-26324,2021-06-06,516,2
517,B-26945,2022-12-21,517,2
518,B-26945,2022-12-21,518,3
519,B-26405,2024-02-12,519,5
520,B-26046,2022-12-05,520,2
521,B-26046,2022-12-05,521,5
522,B-25746,2021-04-04,522,2
523,B-25232,2021-02-12,523,1
524,B-25232,2022-12-27,524,1
525,B-25232,2024-01-19,525,1
526,B-25232,2021-02-12,526,2
527,B-25232,2022-12-27,527,2
528,B-25232,2024-01-19,528,2
529,B-25591,2022-12-25,529,4
530,B-25591,2022-12-25,530,1
531,B-25591,2022-12-25,531,4
532,B-26325,2022-10-06,532,1
533,B-25251,2020-04-27,533,5
534,B-25251,2024-05-13,534,5
535,B-25251,2020-04-27,535,1
536,B-25251,2024-05-13,536,1
537,B-25464,2020-10-23,537,5
538,B-25464,2020-10-23,538,1
539,B-25464,2020-10-23,539,2
540,B-26678,2021-06-11,540,2
541,B-26678,2021-09-08,541,2
542,B-25962,2022-11-23,542,5
543,B-25962,2022-10-31,543,5
544,B-25962,2023-11-06,544,5
545,B-25962,2023-11-12,545,5
546,B-26586,2023-06-26,546,1
547,B-26586,2023-09-30,547,1
548,B-26586,2023-06-26,548,2
549,B-26586,2023-09-30,549,2
550,B-26841,2020-09-12,550,2
551,B-26841,2020-09-12,551,4
552,B-26284,2020-11-27,552,1
553,B-26284,2022-08-25,553,1
554,B-26284,2023-08-23,554,1
555,B-26284,2023-10-11,555,1
556,B-26478,2022-04-21,556,4
557,B-26679,2023-09-14,557,1
558,B-26679,2020-04-29,558,1
559,B-26679,2020-12-15,559,1
560,B-26679,2023-09-14,560,3
561,B-26679,2020-04-29,561,3
562,B-26679,2020-12-15,562,3
563,B-26397,2024-07-11,563,4
564,B-26397,2024-09-21,564,4
565,B-25957,2025-02-02,565,1
566,B-26916,2022-10-21,566,1
567,B-26916,2020-10-21,567,1
568,B-26916,2022-10-21,568,1
569,B-26916,2020-10-21,569,1
570,B-26916,2022-10-21,570,1
571,B-26916,2020-10-21,571,1
572,B-25925,2022-01-11,572,4
573,B-25925,2021-02-17,573,4
574,B-25925,2022-01-11,574,2
575,B-25925,2021-02-17,575,2
576,B-25602,2021-11-06,576,2
577,B-25602,2022-08-30,577,2
578,B-26592,2022-10-07,578,5
579,B-26592,2022-10-07,579,4
580,B-26251,2023-06-04,580,5
581,B-26251,2023-06-04,581,2
582,B-26251,2023-06-04,582,2
583,B-25979,2022-05-13,583,2
584,B-25437,2023-01-23,584,4
585,B-25437,2021-07-25,585,4
586,B-26986,2025-03-08,586,5
587,B-25990,2022-12-25,587,5
588,B-25990,2022-12-25,588,5
589,B-25990,2022-12-25,589,4
590,B-25222,2024-04-24,590,3
591,B-25222,2021-12-24,591,3
592,B-25222,2023-09-07,592,3
593,B-26402,2021-08-10,593,5
594,B-26792,2024-05-26,594,3
595,B-26792,2022-02-19,595,3
596,B-25154,2024-12-09,596,4
597,B-26114,2023-06-01,597,3
598,B-26485,2023-11-05,598,2
599,B-26191,2020-06-21,599,4
600,B-26754,2020-10-26,600,3
601,B-25953,2022-06-06,601,1
602,B-25953,2021-11-13,602,1
603,B-25953,2022-06-06,603,4
604,B-25953,2021-11-13,604,4
605,B-26516,2021-11-11,605,3
606,B-26516,2021-11-11,606,5
607,B-26843,2021-07-31,607,3
608,B-26843,2021-07-31,608,4
609,B-26167,2024-04-13,609,3
610,B-26972,2022-04-19,610,2
611,B-25673,2024-03-23,611,3
612,B-26587,2021-05-07,612,1
613,B-26587,2021-05-07,613,2
614,B-26668,2022-05-06,614,3
615,B-26906,2021-08-09,615,4
616,B-26906,2025-02-09,616,4
617,B-25226,2024-04-23,617,1
618,B-25166,2023-02-23,618,1
619,B-25166,2024-06-06,619,1
620,B-25166,2023-02-23,620,5
621,B-25166,2024-06-06,621,5
622,B-25454,2025-01-27,622,4
623,B-26215,2023-04-07,623,5
624,B-25777,2022-01-20,624,4
625,B-25777,2022-05-10,625,4
626,B-25383,2024-05-29,626,4
627,B-25383,2022-01-04,627,4
628,B-26409,2024-05-02,628,4
629,B-26409,2021-12-28,629,4
630,B-26684,2022-12-12,630,1
631,B-26726,2023-08-17,631,2
632,B-26726,2021-11-29,632,2
633,B-26726,2023-08-17,633,3
634,B-26726,2021-11-29,634,3
635,B-26136,2021-06-13,635,4
636,B-26098,2022-07-04,636,3
637,B-26098,2022-07-04,637,3
638,B-25430,2021-06-27,638,5
639,B-25430,2021-06-27,639,4
640,B-25266,2023-12-04,640,5
641,B-25266,2023-12-04,641,1
642,B-25283,2022-08-09,642,5
643,B-25227,2020-04-08,643,1
644,B-25227,2020-04-08,644,1
645,B-25669,2023-10-20,645,3
646,B-25064,2022-02-10,646,3
647,B-25064,2023-10-05,647,3
648,B-25064,2022-02-10,648,1
649,B-25064,2023-10-05,649,1
650,B-26268,2022-09-22,650,4
651,B-26268,2021-04-03,651,4
652,B-25456,2021-05-03,652,4
653,B-25456,2024-02-11,653,4
654,B-25456,2025-02-04,654,4
655,B-25495,2022-10-12,655,1
656,B-25495,2022-10-12,656,2
657,B-26552,2022-02-06,657,4
658,B-26552,2020-11-09,658,4
659,B-26552,2023-05-03,659,4
660,B-25203,2022-10-04,660,3
661,B-25462,2024-08-21,661,5
662,B-26145,2021-11-20,662,5
663,B-26145,2020-05-13,663,5
664,B-25552,2023-02-28,664,1
665,B-25552,2023-02-28,665,3
666,B-26069,2021-01-21,666,3
667,B-26069,2022-02-28,667,3
668,B-26069,2021-01-21,668,1
669,B-26069,2022-02-28,669,1
670,B-25120,2024-04-25,670,2
671,B-25120,2023-03-10,671,2
672,B-25120,2023-07-10,672,2
673,B-25120,2024-04-25,673,4
674,B-25120,2023-03-10,674,4
675,B-25120,2023-07-10,675,4
676,B-26146,2024-07-28,676,5
677,B-26146,2024-07-28,677,5
678,B-25549,2023-07-30,678,1
679,B-25549,2023-07-30,679,1
680,B-25549,2023-07-30,680,2
681,B-25488,2024-10-05,681,1
682,B-25488,2024-10-05,682,4
683,B-26885,2024-02-20,683,4
684,B-26885,2024-02-20,684,4
685,B-25703,2023-04-19,685,5
686,B-25703,2023-10-29,686,5
687,B-25809,2022-03-08,687,1
688,B-25809,2022-12-08,688,1
689,B-25809,2022-03-08,689,1
690,B-25809,2022-12-08,690,1
691,B-25809,2022-03-08,691,4
692,B-25809,2022-12-08,692,4
693,B-25809,2022-03-08,693,2
694,B-25809,2022-12-08,694,2
695,B-25477,2024-07-27,695,5
696,B-25477,2022-07-05,696,5
697,B-26018,2024-07-04,697,5
698,B-25329,2024-02-28,698,4
699,B-25329,2025-01-03,699,4
700,B-25182,2021-12-07,700,4
701,B-25492,2021-12-14,701,3
702,B-25492,2020-11-30,702,3
703,B-25492,2021-12-14,703,4
704,B-25492,2020-11-30,704,4
705,B-25517,2021-12-29,705,3
706,B-25517,2021-12-29,706,3
707,B-25200,2024-07-08,707,1
708,B-26009,2021-02-10,708,1
709,B-26580,2020-10-21,709,5
710,B-26580,2023-04-17,710,5
711,B-25679,2020-10-21,711,3
712,B-26034,2023-12-28,712,2
713,B-26034,2023-12-28,713,5
714,B-25148,2022-12-23,714,2
715,B-25148,2022-08-10,715,2
716,B-25148,2022-12-23,716,3
717,B-25148,2022-08-10,717,3
718,B-25830,2023-10-17,718,1
719,B-25830,2022-02-28,719,1
720,B-25762,2024-05-24,720,5
721,B-26794,2020-10-02,721,2
722,B-26794,2020-10-02,722,2
723,B-25011,2024-02-10,723,1
724,B-25011,2021-02-06,724,1
725,B-25515,2022-03-16,725,5
726,B-25369,2020-05-24,726,4
727,B-25369,2025-02-16,727,4
728,B-25369,2021-11-16,728,4
729,B-25369,2024-09-08,729,4
730,B-25369,2020-05-24,730,3
731,B-25369,2025-02-16,731,3
732,B-25369,2021-11-16,732,3
733,B-25369,2024-09-08,733,3
734,B-26222,2022-06-29,734,4
735,B-26222,2022-06-29,735,4
736,B-26222,2022-06-29,736,5
737,B-25316,2022-11-03,737,2
738,B-25507,2023-11-28,738,4
739,B-25846,2020-04-25,739,2
740,B-25763,2022-01-18,740,1
741,B-25763,2022-01-18,741,1
742,B-25763,2022-01-18,742,2
743,B-25763,2022-01-18,743,1
744,B-25465,2022-03-23,744,4
745,B-25465,2020-06-24,745,4
746,B-25465,2022-12-23,746,4
747,B-25465,2024-11-24,747,4
748,B-25465,2020-11-06,748,4
749,B-25465,2023-10-24,749,4
750,B-25465,2022-03-23,750,1
751,B-25465,2020-06-24,751,1
752,B-25465,2022-12-23,752,1
753,B-25465,2024-11-24,753,1
754,B-25465,2020-11-06,754,1
755,B-25465,2023-10-24,755,1
756,B-26352,2023-07-18,756,2
757,B-26352,2022-05-16,757,2
758,B-26352,2023-07-18,758,5
759,B-26352,2022-05-16,759,5
760,B-26528,2024-06-16,760,5
761,B-26528,2021-10-23,761,5
762,B-26670,2022-10-22,762,3
763,B-25331,2023-07-17,763,1
764,B-25832,2025-02-24,764,3
765,B-25832,2025-02-24,765,5
766,B-25897,2021-03-07,766,1
767,B-25713,2021-01-03,767,4
768,B-25065,2023-05-03,768,2
769,B-25949,2023-10-25,769,3
770,B-26033,2022-08-21,770,5
771,B-26017,2022-04-16,771,5
772,B-26926,2023-04-02,772,3
773,B-26258,2024-10-21,773,2
774,B-26258,2024-10-21,774,1
775,B-26240,2021-07-09,775,3
