order_details_id,order_pk,category_id,amount,profit,quantity
251,251,5,9989,3930,14
252,252,5,9989,3930,14
253,253,5,7421,958,10
254,254,5,7421,958,10
255,255,5,7421,958,10
256,256,9,3099,479,1
257,257,11,2521,906,7
258,258,1,6962,3429,12
259,259,1,6962,3429,12
260,260,12,1085,301,20
261,261,6,738,342,2
262,262,6,738,342,2
263,263,6,738,342,2
264,264,6,738,342,2
265,265,1,1366,242,17
266,266,7,1518,155,13
267,267,11,2962,1470,1
268,268,11,2962,1470,1
269,269,2,7131,718,12
270,270,2,7131,718,12
271,271,7,4200,855,10
272,272,7,4200,855,10
273,273,7,5934,1563,2
274,274,2,2701,322,11
275,275,9,7273,2702,18
276,276,7,2465,699,18
277,277,7,3479,1087,2
278,278,2,5457,1765,7
279,279,7,4957,1152,8
280,280,3,4404,858,17
281,281,8,8776,2529,15
282,282,11,9536,1437,9
283,283,8,2225,589,7
284,284,12,9574,4045,19
285,285,1,4382,482,17
286,286,4,8200,257,19
287,287,8,9316,3003,13
288,288,1,6379,3128,15
289,289,7,3348,568,5
290,290,7,3348,568,5
291,291,3,8856,2020,9
292,292,3,8856,2020,9
293,293,8,1760,619,16
294,294,8,1760,619,16
295,295,2,6351,986,15
296,296,2,6351,986,15
297,297,9,869,373,14
298,298,9,869,373,14
299,299,12,1486,114,7
300,300,12,1486,114,7
301,301,10,2999,145,13
302,302,9,5142,1916,20
303,303,4,1239,575,17
304,304,4,1239,575,17
305,305,1,1262,515,16
306,306,1,1262,515,16
307,307,12,1033,254,5
308,308,2,1518,159,19
309,309,9,8581,2444,2
310,310,9,8581,2444,2
311,311,3,1167,463,5
312,312,4,2841,803,20
313,313,5,5680,2159,19
314,314,3,8204,2382,6
315,315,3,8204,2382,6
316,316,11,2850,904,6
317,317,11,2850,904,6
318,318,3,907,391,9
319,319,3,2174,265,19
320,320,1,8541,2029,12
321,321,12,1931,551,3
322,322,1,1281,340,3
323,323,4,2404,253,15
324,324,8,2119,196,1
325,325,3,3137,571,9
326,326,5,2323,727,7
327,327,12,1368,406,9
328,328,4,9204,3289,16
329,329,4,9204,3289,16
330,330,9,9894,3698,20
331,331,9,9894,3698,20
332,332,8,5322,1423,18
333,333,8,5322,1423,18
334,334,6,2666,559,14
335,335,8,8383,937,4
336,336,9,7560,821,4
337,337,8,1314,490,16
338,338,5,4390,179,1
339,339,10,1150,58,7
340,340,3,1574,258,17
341,341,10,5635,318,17
342,342,8,6515,961,11
343,343,4,1231,214,20
344,344,4,1231,214,20
345,345,10,6891,2529,3
346,346,4,7524,2308,15
347,347,2,6864,1824,14
348,348,6,4215,432,14
349,349,12,622,218,19
350,350,3,1755,495,18
351,351,1,8020,3898,20
352,352,4,7333,1576,4
353,353,1,7690,1134,4
354,354,8,912,246,2
355,355,4,2791,894,14
356,356,4,2791,894,14
357,357,4,2791,894,14
358,358,8,6223,1478,3
359,359,8,6223,1478,3
360,360,8,6223,1478,3
361,361,6,8943,3121,17
362,362,6,8943,3121,17
363,363,6,8943,3121,17
364,364,11,3297,102,12
365,365,11,3297,102,12
366,366,11,3297,102,12
367,367,9,8769,1989,20
368,368,2,9057,1888,19
369,369,5,6864,3275,11
370,370,4,9200,809,13
371,371,4,6113,2508,6
372,372,5,7733,2784,15
373,373,5,8524,154,14
374,374,12,6187,2344,15
375,375,5,4364,148,18
376,376,3,736,286,12
377,377,3,9905,633,17
378,378,3,9905,633,17
379,379,9,2493,1221,9
380,380,3,9849,963,1
381,381,2,3423,804,4
382,382,2,3423,804,4
383,383,2,3423,804,4
384,384,2,3423,804,4
385,385,2,3423,804,4
386,386,6,3900,115,9
387,387,1,8568,2419,11
388,388,3,3283,71,6
389,389,1,7643,3720,19
390,390,8,3461,1537,15
391,391,1,5714,1438,6
392,392,10,3853,1457,10
393,393,3,6016,431,20
394,394,7,1290,204,12
395,395,7,1290,204,12
396,396,2,4569,1693,10
397,397,12,3083,1151,16
398,398,3,3522,898,15
399,399,3,3522,898,15
400,400,10,7301,3602,3
401,401,4,4462,121,8
402,402,11,6212,1881,17
403,403,12,4027,1386,3
404,404,4,1676,330,14
405,405,12,3927,1133,12
406,406,11,2776,887,9
407,407,8,7684,1157,12
408,408,8,7684,1157,12
409,409,8,7684,1157,12
410,410,11,6008,2498,17
411,411,12,7344,2598,20
412,412,3,6932,3218,20
413,413,1,7748,1706,16
414,414,7,6381,2763,20
415,415,11,992,64,6
416,416,4,8649,2631,13
417,417,4,8649,2631,13
418,418,4,4099,52,18
419,419,1,2539,324,5
420,420,9,9845,3062,9
421,421,9,2901,1411,2
422,422,9,2901,1411,2
423,423,3,6934,1152,6
424,424,3,6934,1152,6
425,425,12,9640,2606,2
426,426,6,7930,1981,13
427,427,6,7930,1981,13
428,428,10,9894,829,1
429,429,5,4534,2235,4
430,430,11,4911,186,20
431,431,12,531,189,20
432,432,1,9707,3483,10
433,433,9,8521,2584,7
434,434,10,8438,3427,12
435,435,1,1689,109,9
436,436,9,3936,1626,14
437,437,11,7664,1753,19
438,438,4,721,258,13
439,439,4,721,258,13
440,440,4,8364,3055,17
441,441,4,8364,3055,17
442,442,12,5234,2021,15
443,443,12,5234,2021,15
444,444,11,3944,1559,18
445,445,3,6711,1045,12
446,446,5,5031,714,4
447,447,10,6295,2469,14
448,448,9,9654,4111,1
449,449,10,3112,1065,20
450,450,11,7838,1142,13
451,451,11,9300,3146,6
452,452,9,1733,133,17
453,453,10,874,235,15
454,454,10,874,235,15
455,455,3,1248,584,13
456,456,3,1248,584,13
457,457,7,3669,154,14
458,458,7,3669,154,14
459,459,9,514,109,15
460,460,9,514,109,15
461,461,11,3273,85,16
462,462,6,5035,2008,2
463,463,2,7702,60,19
464,464,2,9884,4446,7
465,465,4,5564,175,11
466,466,4,5564,175,11
467,467,4,5564,175,11
468,468,1,3953,1776,15
469,469,1,3953,1776,15
470,470,1,3953,1776,15
471,471,2,6488,1591,18
472,472,2,6488,1591,18
473,473,1,7856,3699,17
474,474,3,1165,51,3
475,475,7,9386,2555,20
476,476,7,9386,2555,20
477,477,3,3956,142,12
478,478,3,3956,142,12
479,479,12,6449,2628,11
480,480,12,6449,2628,11
481,481,7,6255,437,18
482,482,1,2109,681,20
483,483,11,6707,1041,20
484,484,3,7633,184,13
485,485,3,975,224,18
486,486,5,4492,1450,7
487,487,6,7957,2834,12
488,488,5,4906,975,7
489,489,3,1379,250,3
490,490,4,4244,340,10
491,491,12,5911,2333,14
492,492,12,5911,2333,14
493,493,7,1818,738,11
494,494,7,1818,738,11
495,495,9,2140,970,4
496,496,9,2140,970,4
497,497,9,2140,970,4
498,498,4,2670,1026,1
499,499,4,2670,1026,1
500,500,4,2670,1026,1
501,501,4,1108,167,18
502,502,10,9776,3750,9
503,503,12,535,72,6
504,504,9,7564,3463,5
505,505,9,7564,3463,5
506,506,9,7564,3463,5
507,507,9,7564,3463,5
508,508,1,3409,1605,20
509,509,1,3409,1605,20
510,510,1,3409,1605,20
511,511,1,3409,1605,20
512,512,3,9751,2459,13
513,513,2,6385,2656,11
514,514,2,6385,2656,11
515,515,1,6355,1335,15
516,516,1,6355,1335,15
517,517,2,7377,320,15
518,518,7,2054,371,12
519,519,6,7497,319,18
520,520,1,2565,983,20
521,521,3,5024,1544,19
522,522,10,8243,1346,15
523,523,9,7792,1403,13
524,524,9,7792,1403,13
525,525,9,7792,1403,13
526,526,6,2346,388,14
527,527,6,2346,388,14
528,528,6,2346,388,14
529,529,8,7346,1043,10
530,530,1,9770,4132,7
531,531,4,7179,683,13
532,532,11,5449,2389,2
533,533,6,2895,104,6
534,534,6,2895,104,6
535,535,6,697,116,1
536,536,6,697,116,1
537,537,6,6145,1414,4
538,538,2,2504,440,18
539,539,11,3124,138,16
540,540,1,6934,1226,1
541,541,1,6934,1226,1
542,542,7,4202,1171,3
543,543,7,4202,1171,3
544,544,7,4202,1171,3
545,545,7,4202,1171,3
546,546,2,2239,828,1
547,547,2,2239,828,1
548,548,11,2450,1002,4
549,549,11,2450,1002,4
550,550,6,9827,4208,13
551,551,8,8077,240,15
552,552,11,5152,2045,14
553,553,11,5152,2045,14
554,554,11,5152,2045,14
555,555,11,5152,2045,14
556,556,7,2542,190,1
557,557,7,8102,1800,5
558,558,7,8102,1800,5
559,559,7,8102,1800,5
560,560,5,3234,1274,10
561,561,5,3234,1274,10
562,562,5,3234,1274,10
563,563,5,6200,2321,18
564,564,5,6200,2321,18
565,565,4,4470,413,13
566,566,3,916,362,7
567,567,3,916,362,7
568,568,8,1165,302,20
569,569,8,1165,302,20
570,570,6,7846,677,12
571,571,6,7846,677,12
572,572,3,3022,384,1
573,573,3,3022,384,1
574,574,1,5266,1111,13
575,575,1,5266,1111,13
576,576,3,4853,1764,9
577,577,3,4853,1764,9
578,578,3,9832,1270,1
579,579,3,796,153,15
580,580,6,883,127,7
581,581,12,4539,1155,8
582,582,10,9659,2226,16
583,583,2,9562,325,2
584,584,4,4688,1841,3
585,585,4,4688,1841,3
586,586,11,7900,482,4
587,587,12,6967,3257,17
588,588,9,1091,277,6
589,589,10,6027,1530,2
590,590,5,4852,218,2
591,591,5,4852,218,2
592,592,5,4852,218,2
593,593,8,4314,1453,6
594,594,3,3288,1477,3
595,595,3,3288,1477,3
596,596,10,3977,813,5
597,597,2,6252,1377,2
598,598,3,9084,3253,12
599,599,11,8994,1481,15
600,600,7,1089,176,16
601,601,10,6690,1001,19
602,602,10,6690,1001,19
603,603,12,4985,1920,10
604,604,12,4985,1920,10
605,605,1,8590,3565,15
606,606,5,6973,3038,10
607,607,2,4591,1941,19
608,608,3,9612,2572,17
609,609,6,5343,655,1
610,610,7,6956,318,20
611,611,5,5306,2405,17
612,612,8,8982,448,17
613,613,9,4826,562,5
614,614,3,972,106,15
615,615,7,3665,802,4
616,616,7,3665,802,4
617,617,3,9808,2117,2
618,618,6,1133,73,17
619,619,6,1133,73,17
620,620,12,6248,1168,19
621,621,12,6248,1168,19
622,622,1,5666,2733,17
623,623,7,4171,1450,18
624,624,2,6236,2839,7
625,625,2,6236,2839,7
626,626,6,5410,2456,8
627,627,6,5410,2456,8
628,628,8,3024,1353,1
629,629,8,3024,1353,1
630,630,7,7434,2851,5
631,631,1,7213,508,19
632,632,1,7213,508,19
633,633,5,3176,586,9
634,634,5,3176,586,9
635,635,10,9144,2220,18
636,636,5,4146,865,19
637,637,5,3793,875,7
638,638,8,7169,2385,11
639,639,6,4046,417,18
640,640,11,4164,905,11
641,641,5,5389,2196,5
642,642,8,5448,2204,5
643,643,8,4115,1285,1
644,644,5,4761,2231,12
645,645,10,5899,2264,6
646,646,6,6109,3040,9
647,647,6,6109,3040,9
648,648,1,4628,1491,17
649,649,1,4628,1491,17
650,650,3,4369,584,13
651,651,3,4369,584,13
652,652,8,5632,2358,20
653,653,8,5632,2358,20
654,654,8,5632,2358,20
655,655,9,7519,402,14
656,656,1,1564,674,13
657,657,1,2804,936,10
658,658,1,2804,936,10
659,659,1,2804,936,10
660,660,6,2321,505,6
661,661,4,5730,482,6
662,662,8,7441,867,12
663,663,8,7441,867,12
664,664,10,1732,766,7
665,665,9,8788,3944,19
666,666,7,838,271,11
667,667,7,838,271,11
668,668,5,3577,699,2
669,669,5,3577,699,2
670,670,11,7122,1836,6
671,671,11,7122,1836,6
672,672,11,7122,1836,6
673,673,7,7327,2596,15
674,674,7,7327,2596,15
675,675,7,7327,2596,15
676,676,2,2239,1094,18
677,677,7,4932,1153,1
678,678,2,4609,1084,8
679,679,9,2328,788,4
680,680,2,4734,958,7
681,681,8,1388,345,5
682,682,4,8555,1638,8
683,683,5,9024,730,4
684,684,4,2468,418,4
685,685,1,9438,1801,4
686,686,1,9438,1801,4
687,687,11,2685,379,18
688,688,11,2685,379,18
689,689,6,9916,4602,14
690,690,6,9916,4602,14
691,691,1,6184,50,14
692,692,1,6184,50,14
693,693,7,4548,2135,8
694,694,7,4548,2135,8
695,695,7,7195,1665,7
696,696,7,7195,1665,7
697,697,12,3098,957,18
698,698,5,5412,1192,18
699,699,5,5412,1192,18
700,700,6,1397,686,11
701,701,6,9279,552,14
702,702,6,9279,552,14
703,703,9,2596,1003,19
704,704,9,2596,1003,19
705,705,12,6732,911,19
706,706,3,4495,1408,14
707,707,9,9653,2471,6
708,708,5,8945,1728,10
709,709,12,4007,201,13
710,710,12,4007,201,13
711,711,12,810,231,18
712,712,12,9789,2071,18
713,713,1,9229,4090,8
714,714,7,8141,3968,18
715,715,7,8141,3968,18
716,716,8,1067,251,14
717,717,8,1067,251,14
718,718,10,3839,1415,10
719,719,10,3839,1415,10
720,720,1,2858,482,13
721,721,12,2137,638,12
722,722,6,2831,1289,12
723,723,8,3913,961,15
724,724,8,3913,961,15
725,725,9,4468,1940,9
726,726,4,1579,602,9
727,727,4,1579,602,9
728,728,4,1579,602,9
729,729,4,1579,602,9
730,730,6,3760,1849,19
731,731,6,3760,1849,19
732,732,6,3760,1849,19
733,733,6,3760,1849,19
734,734,3,8706,3099,14
735,735,1,4708,696,14
736,736,6,8089,3132,17
737,737,2,5462,673,12
738,738,1,6392,444,18
739,739,1,8706,1724,3
740,740,3,2349,319,4
741,741,6,8220,3882,14
742,742,6,2379,279,7
743,743,7,7377,2049,4
744,744,5,717,158,16
745,745,5,717,158,16
746,746,5,717,158,16
747,747,5,717,158,16
748,748,5,717,158,16
749,749,5,717,158,16
750,750,8,508,177,17
751,751,8,508,177,17
752,752,8,508,177,17
753,753,8,508,177,17
754,754,8,508,177,17
755,755,8,508,177,17
756,756,2,9382,1085,3
757,757,2,9382,1085,3
758,758,5,4936,576,19
759,759,5,4936,576,19
760,760,8,2663,64,19
761,761,8,2663,64,19
762,762,2,5151,1680,5
763,763,3,2514,95,8
764,764,4,6129,2976,2
765,765,12,4395,1663,3
766,766,6,5393,2642,8
767,767,11,2280,509,8
768,768,9,6596,1439,9
769,769,9,4510,1896,5
770,770,11,6077,2378,18
771,771,2,5379,2510,17
772,772,7,4629,1660,16
773,773,4,2710,555,20
774,774,10,3224,1018,14
775,775,7,8042,936,15
776,776,7,8042,936,15
777,777,10,3957,151,10
778,778,7,8769,3178,16
779,779,3,2957,917,16
780,780,9,5344,2607,6
781,781,9,5344,2607,6
782,782,4,6061,2121,19
783,783,4,6061,2121,19
784,784,5,5376,1928,7
785,785,2,2792,1008,8
786,786,10,2944,249,5
787,787,10,2944,249,5
788,788,7,4220,945,13
789,789,7,4220,945,13
790,790,10,8526,1704,4
791,791,12,8218,1430,19
792,792,11,599,265,4
793,793,11,599,265,4
794,794,12,2727,543,10
795,795,12,2727,543,10
796,796,3,2589,605,11
797,797,3,2589,605,11
798,798,1,3776,1100,9
799,799,1,3776,1100,9
800,800,12,5402,1666,12
801,801,3,5165,885,16
802,802,12,4863,2394,4
803,803,3,1626,258,15
804,804,5,8851,3962,7
805,805,5,9680,3295,9
806,806,3,8468,3666,8
807,807,6,4441,314,14
808,808,8,6622,2673,8
809,809,5,3260,207,17
810,810,5,8709,2322,8
811,811,5,8709,2322,8
812,812,10,5250,187,1
813,813,10,5250,187,1
814,814,9,4116,921,20
815,815,9,4116,921,20
816,816,9,1109,418,15
817,817,3,3573,562,7
818,818,3,3573,562,7
819,819,3,3573,562,7
820,820,11,8055,661,10
821,821,11,8055,661,10
822,822,11,8055,661,10
823,823,4,6829,2609,2
824,824,9,6390,3089,12
825,825,3,5831,1574,17
826,826,3,5831,1574,17
827,827,3,5831,1574,17
828,828,8,7952,3865,8
829,829,12,3659,379,5
830,830,3,4183,1159,4
831,831,11,7478,1381,11
832,832,11,702,238,9
833,833,6,4037,1494,15
834,834,6,5014,2332,2
835,835,4,9879,4930,15
836,836,11,8762,3502,1
837,837,3,8490,800,1
838,838,8,6951,164,10
839,839,11,1078,309,3
840,840,11,1078,309,3
841,841,10,8560,2166,19
842,842,1,1031,318,20
843,843,7,6402,2770,19
844,844,7,6402,2770,19
845,845,2,5916,1594,19
846,846,2,5916,1594,19
847,847,6,4015,1751,15
848,848,6,4015,1751,15
849,849,1,9335,557,11
850,850,10,4706,594,11
851,851,10,4706,594,11
852,852,7,6584,371,6
853,853,7,6584,371,6
854,854,8,6389,734,1
855,855,2,9869,4299,12
856,856,2,9869,4299,12
857,857,7,655,297,4
858,858,7,655,297,4
859,859,11,798,308,10
860,860,11,798,308,10
861,861,2,7967,2504,13
862,862,2,7967,2504,13
863,863,5,3756,1318,5
864,864,7,5196,2477,1
865,865,12,6586,1794,19
866,866,7,6673,950,19
867,867,5,714,232,14
868,868,5,714,232,14
869,869,3,1083,501,6
870,870,12,2401,1163,10
871,871,12,2401,1163,10
872,872,12,2401,1163,10
873,873,11,1045,267,11
874,874,11,1045,267,11
875,875,11,1045,267,11
876,876,7,7806,1127,1
877,877,8,5263,1743,19
878,878,3,6147,2526,6
879,879,11,7484,2871,15
880,880,11,7484,2871,15
881,881,8,7700,2712,1
882,882,8,7700,2712,1
883,883,7,8537,3586,13
884,884,6,8858,3394,6
885,885,2,5313,2037,7
886,886,2,5313,2037,7
887,887,8,3281,471,7
888,888,8,3281,471,7
889,889,3,8681,2458,9
890,890,8,6195,1556,18
891,891,6,3877,481,16
892,892,6,3877,481,16
893,893,2,9369,3297,6
894,894,2,9369,3297,6
895,895,2,8680,4068,20
896,896,2,8680,4068,20
897,897,4,3067,1475,8
898,898,4,3067,1475,8
899,899,7,9002,4197,2
900,900,7,9002,4197,2
901,901,3,7105,2782,19
902,902,6,5317,1345,18
903,903,6,5317,1345,18
904,904,6,5317,1345,18
905,905,5,6304,766,14
906,906,5,6304,766,14
907,907,5,6304,766,14
908,908,9,9565,1691,3
909,909,9,8245,324,11
910,910,4,1592,480,13
911,911,11,8400,267,5
912,912,9,4963,1254,15
913,913,2,2472,211,5
914,914,6,9132,3096,14
915,915,10,8305,1577,6
916,916,1,1010,58,19
917,917,11,4544,1726,9
918,918,11,5900,1738,20
919,919,7,8861,3381,19
920,920,11,8158,2052,13
921,921,3,3411,1704,14
922,922,7,9406,1137,16
923,923,2,1156,74,15
924,924,12,5354,743,10
925,925,1,8780,3430,4
926,926,1,8780,3430,4
927,927,8,6783,3306,8
928,928,3,1778,285,4
929,929,2,9399,1949,12
930,930,8,7957,965,4
931,931,6,1638,661,13
932,932,5,1786,224,4
933,933,9,4751,781,9
934,934,9,8979,4477,4
935,935,11,2727,663,8
936,936,2,1093,397,17
937,937,2,1093,397,17
938,938,2,1093,397,17
939,939,9,2636,88,11
940,940,9,2636,88,11
941,941,9,2636,88,11
942,942,1,7344,2251,7
943,943,9,7306,1547,3
944,944,2,5832,2588,10
945,945,5,8572,2041,8
946,946,5,8572,2041,8
947,947,5,8572,2041,8
948,948,2,8059,1834,10
949,949,2,8059,1834,10
950,950,2,8059,1834,10
951,951,8,3661,436,13
952,952,9,2451,342,8
953,953,9,2451,342,8
954,954,9,2451,342,8
955,955,5,7067,1943,16
956,956,1,4307,615,3
957,957,1,4307,615,3
958,958,6,5694,1134,5
959,959,6,5694,1134,5
960,960,10,962,298,18
961,961,12,2995,220,14
962,962,7,2047,914,5
963,963,4,2078,612,6
964,964,2,2737,1253,3
965,965,9,8194,2881,6
966,966,8,9914,3858,16
967,967,8,9914,3858,16
968,968,3,5470,292,7
969,969,3,5470,292,7
970,970,12,1496,662,17
971,971,12,1496,662,17
972,972,9,3228,476,9
973,973,4,3918,749,8
974,974,4,3918,749,8
975,975,8,9921,1451,15
976,976,6,9694,4361,1
977,977,9,5028,1553,13
978,978,9,594,67,19
979,979,9,594,67,19
980,980,9,594,67,19
981,981,5,5954,2618,11
982,982,12,3518,1051,3
983,983,4,4157,1874,8
984,984,7,3747,410,5
985,985,7,3747,410,5
986,986,7,3747,410,5
987,987,7,3747,410,5
988,988,7,3747,410,5
989,989,10,3194,534,4
990,990,10,3194,534,4
991,991,10,3194,534,4
992,992,10,3194,534,4
993,993,10,3194,534,4
994,994,10,8548,2305,1
995,995,5,6089,139,19
996,996,5,6089,139,19
997,997,5,6089,139,19
998,998,5,2586,800,16
999,999,5,2586,800,16
1000,1000,5,2586,800,16
1001,1001,9,3757,1626,9
1002,1002,9,3757,1626,9
1003,1003,9,3757,1626,9
1004,1004,8,5193,2530,5
1005,1005,8,5193,2530,5
1006,1006,1,7493,96,3
1007,1007,7,2062,848,6
1008,1008,11,7163,1536,1
1009,1009,11,4026,163,6
1010,1010,6,1894,275,5
1011,1011,1,7144,192,13
1012,1012,4,3482,1554,15
1013,1013,9,4172,235,5
1014,1014,9,4172,235,5
1015,1015,9,4172,235,5
1016,1016,8,6265,155,8
1017,1017,8,6265,155,8
1018,1018,1,2931,212,7
1019,1019,1,2931,212,7
1020,1020,6,1146,188,9
1021,1021,2,9215,767,13
1022,1022,2,9215,767,13
1023,1023,6,7895,1005,1
1024,1024,6,7895,1005,1
1025,1025,3,2740,558,8
1026,1026,3,2740,558,8
1027,1027,7,5338,1354,16
1028,1028,7,5338,1354,16
1029,1029,7,5338,1354,16
1030,1030,7,5338,1354,16
1031,1031,3,3095,941,2
1032,1032,3,3095,941,2
